Description,1-Day Price Chg %,Market Cap,P/E,ROE %,Div. Yield %,Debt to Equity,Price to Book,Net Profit Margin (mrq),Price To Free Cash Flow (mrq)
Basic Materials,0.44,234519.65B,50.485,9.812,3.428,42.121,2.47,4.274,-323.008
Agricultural Chemicals,0.455,1901.54B,20.3,18.5,2.657,52.034,4.75,13.7,-94.7
Adarsh Plant Protect Ltd,NA,NA,NA,-4.21,NA,123.215,NA,-8.727,NA
Agrium Inc,NA,NA,NA,11.4,NA,60.111,NA,8.381,NA
Agrium Inc,-0.07,14.81B,18.96,11.4,NA,60.111,2.063,8.381,-26.369
Agrium Inc.,-0.24,13.63B,17.45,11.4,3.3,60.111,1.899,8.381,-24.268
Aimco Pesticides Ltd,NA,NA,NA,NA,NA,9.448,NA,3.239,NA
American Vanguard Corp.,0.98,390.85M,34.462,4.254,1.5,33.364,1.506,0.212,39.256
Aries Agro Ltd,-1.46,1.14B,8.414,NA,NA,81.211,0.643,5.398,NA
Aries Agro Ltd,-1.46,1.14B,8.414,NA,NA,81.211,0.643,5.398,NA
Basant Agro-Tech India Ltd,-2.46,724.79M,4.346,NA,NA,146.205,0.835,3.538,NA
Bayer CropScience Ltd,NA,NA,NA,NA,NA,NA,NA,9.255,NA
Bayer CropScience Ltd,1.59,89.01B,29.623,NA,NA,NA,5.109,9.255,NA
Bhagiradha Chemicals,7.2,349.72M,15.614,NA,NA,109.046,0.73,0.961,NA
Bharat Agri Fert & Realty Ltd,NA,NA,NA,NA,NA,10.32,NA,25.721,NA
Bharat Rasayan Ltd,3.11,3.00B,10.861,NA,NA,174.281,3.656,8.418,NA
Bharat Rasayan Ltd,NA,NA,NA,NA,NA,174.281,NA,8.418,NA
Bisi International Tbk,NA,NA,NA,4.154,NA,NA,NA,-1.187,NA
Camson Bio Technologies Ltd,-0.12,3.14B,23.29,NA,NA,16.284,1.365,8.664,NA
"Cavitation Technologies, Inc.",0,14.65M,NA,NA,NA,NA,NA,60.545,-55.702
Century Sunshine,0.96,2.73B,12.069,14.13,NA,13.984,1.373,15.476,-22.932
"Ceres, Inc.",0,26.02M,NA,-83.394,NA,0.367,0.777,NA,-5.867
CF Industries Holdings Inc,NA,NA,NA,32.005,NA,94.784,NA,21.226,NA
"CF Industries Holdings, Inc.",-0.99,12.80B,8.991,32.005,1.6,94.784,2.855,21.226,-29.311
Chambal Fertilisers & Che,NA,NA,NA,11.619,NA,220.144,NA,4.047,NA
Chambal Fertilisers & Che,-1.6,23.08B,9.454,11.619,NA,220.144,1.122,4.047,NA
Changjiang Fertilizer,0,14.40M,NA,-85.898,NA,NA,0.43,NA,-27.676
China Agrotech Holdings Ltd,NA,NA,NA,0.238,NA,85.155,NA,0.405,NA
China Agrotech Holdings Ltd.,0,230.41M,57.5,0.238,NA,85.155,0.119,0.405,25.992
China BlueChemical Ltd,NA,NA,NA,8.569,NA,5.642,NA,8.502,NA
China BlueChemical Ltd.,-0.52,17.52B,95,8.569,NA,5.642,7.708,8.502,NA
China Green Agriculture Inc,NA,NA,NA,11.77,NA,9.196,NA,10.255,NA
"China Green Agriculture, Inc.",-2.22,70.02M,1.885,11.77,NA,9.196,0.215,10.255,30.089
Chnia XLX Fertiliser Ltd,NA,NA,NA,5.305,NA,169.264,NA,1.365,NA
Chnia XLX Fertiliser Ltd.,0,2.92B,130.526,5.305,NA,169.264,7.126,1.365,-104.367
Coromandel International Ltd,NA,NA,NA,NA,NA,80.264,NA,1.731,NA
Coromandel International Ltd.,0.54,73.84B,20.39,NA,NA,80.264,3.237,1.731,NA
"CVR Partners, LP",-0.33,1.12B,12.994,19.57,7.7,30.136,2.667,22.185,72.401
Deepak Fertilisers,1.57,13.72B,5.707,17.591,NA,NA,0.944,NA,NA
Deepak Fertilisers,1.23,13.74B,5.712,17.591,NA,NA,0.945,NA,NA
Dhanuka Agritech Ltd,0.34,21.81B,22.66,NA,NA,11.853,6.558,11.827,NA
E I du Pont de Nemours,0,121.91B,41.834,19.453,NA,68.881,7.251,10.986,380.375
E I du Pont de Nemours,NA,NA,NA,19.453,NA,68.881,NA,10.986,NA
E I du Pont de Nemours,NA,NA,NA,19.453,NA,68.881,NA,10.986,NA
E. I. du Pont de Nemours and C,-0.06,60.51B,20.763,19.453,2.8,68.881,3.599,10.986,188.788
Excel Crop Care Ltd,0.75,10.88B,16.475,23.97,NA,NA,3.62,NA,NA
Excel Crop Care Ltd,NA,NA,NA,23.97,NA,NA,NA,NA,NA
Excel Industries Ltd,1.17,2.91B,16.236,12.506,NA,76.305,1.915,0.173,NA
Excel Industries Ltd,NA,NA,NA,12.506,NA,76.305,NA,0.173,NA
